#{"t_start": 1772323696.7707138, "env_id": "None"}
r,l,t,termination_reason
275.607003,58,145.328569,success
276.728442,59,145.421653,success
277.579619,58,145.514802,success
276.443185,57,145.605642,success
274.981417,58,145.70265,success
277.852439,57,145.793893,success
277.472603,59,145.886593,success
276.034066,57,145.976816,success
276.769396,58,146.23373,success
278.528964,58,146.327947,success
278.451306,57,146.416153,success
277.859565,57,146.504443,success
275.680255,57,146.592169,success
277.029254,58,146.683145,success
277.745256,58,146.77842,success
275.692544,57,146.873688,success
279.044474,58,146.968214,success
278.252913,57,147.228666,success
280.190985,57,147.321156,success
277.958262,57,147.413644,success
278.544035,58,147.505961,success
277.815534,57,147.596053,success
278.686878,57,147.685408,success
279.372253,57,147.775417,success
278.789568,58,147.868882,success
276.95564,58,147.962642,success
276.895657,56,148.221907,success
277.465467,57,148.316309,success
278.20016,57,148.407987,success
277.605027,57,148.498881,success
279.024303,56,148.590205,success
279.763679,57,148.682139,success
278.673713,56,148.77409,success
276.720009,56,148.863403,success
280.932337,57,148.959454,success
277.006023,56,149.216314,success
277.794382,56,149.308577,success
280.478983,57,149.401115,success
279.063995,57,149.491991,success
278.613529,56,149.579798,success
279.655604,56,149.673289,success
280.144264,56,149.763774,success
281.123916,56,149.854411,success
280.96416,57,149.94899,success
278.587457,56,150.223249,success
281.45856,57,150.3165,success
278.347798,55,150.405756,success
279.796449,56,150.4974,success
278.655423,56,150.590178,success
278.64373,56,150.68856,success
277.269115,56,150.783632,success
280.22571,56,150.878864,success
279.449601,56,150.97313,success
279.254684,55,151.231788,success
280.469724,56,151.326069,success
279.567589,55,151.4154,success
280.490761,56,151.510872,success
280.556557,56,151.599756,success
281.1093,56,151.691467,success
280.587551,56,151.785682,success
281.224534,56,151.879728,success
280.683444,56,151.971342,success
279.470932,56,152.234513,success
280.129932,56,152.328709,success
282.227153,56,152.419441,success
278.007455,55,152.511646,success
279.164912,55,152.601467,success
280.204417,56,152.693359,success
278.427104,55,152.786041,success
281.238905,56,152.879966,success
280.45437,56,152.969878,success
280.483217,55,153.231209,success
280.930291,56,153.322888,success
279.762666,55,153.418238,success
281.626587,55,153.510491,success
282.374435,56,153.604179,success
280.356395,55,153.694077,success
282.658462,56,153.78386,success
277.701225,55,153.87297,success
279.254637,55,153.963519,success
281.351978,56,154.224455,success
281.025358,55,154.310976,success
279.200745,55,154.3998,success
279.254895,55,154.48647,success
279.959842,55,154.574116,success
280.297232,55,154.664361,success
281.108994,56,154.75605,success
281.203341,56,154.847094,success
281.340235,56,154.936728,success
279.918069,55,155.027123,success
280.808517,55,155.284718,success
281.228339,55,155.370342,success
281.752046,55,155.456623,success
278.256955,55,155.545436,success
280.813317,55,155.634116,success
280.416048,55,155.720831,success
281.105828,55,155.835087,success
282.531945,55,155.923427,success
280.371536,55,156.008981,success
280.605749,55,156.266721,success
281.956738,55,156.352973,success
279.962612,54,156.437589,success
281.599285,55,156.526186,success
279.411073,54,156.611683,success
281.185542,55,156.702287,success
282.379617,55,156.792506,success
280.957156,54,156.881061,success
281.963922,55,156.970639,success
281.528246,55,157.224337,success
281.027966,54,157.310798,success
281.635839,55,157.400062,success
281.885779,55,157.489126,success
282.209864,55,157.576649,success
282.781572,55,157.661646,success
279.710352,55,157.751095,success
282.855981,55,157.83869,success
281.683358,55,157.926011,success
282.691171,55,158.014323,success
281.955137,55,158.27442,success
281.294844,55,158.36062,success
280.212627,54,158.446609,success
281.279041,54,158.530312,success
280.873128,54,158.614207,success
280.355554,54,158.702129,success
281.01817,54,158.791117,success
281.467198,55,158.880762,success
282.479724,54,158.967624,success
281.523156,55,159.224815,success
283.122007,55,159.312848,success
279.790337,54,159.399644,success
283.474875,55,159.490256,success
282.946528,54,159.57633,success
283.030169,55,159.666847,success
281.819009,55,159.753695,success
281.600523,55,159.839702,success
281.376316,54,159.926018,success
281.161108,54,160.01448,success
281.768618,54,160.271743,success
282.420443,54,160.357922,success
282.330706,54,160.44449,success
280.834723,54,160.53349,success
280.684998,54,160.61941,success
281.111681,54,160.706656,success
282.791572,54,160.795436,success
281.721658,54,160.883166,success
281.625285,54,160.970128,success
281.366889,54,161.229255,success
281.851534,54,161.315625,success
282.071453,54,161.403583,success
282.686626,54,161.491344,success
281.313978,54,161.576389,success
281.866022,54,161.664105,success
282.343715,54,161.749734,success
281.722227,54,161.834105,success
282.735888,54,161.916902,success
281.886872,54,162.004315,success
282.929159,54,162.254846,success
283.464132,54,162.339852,success
283.533728,54,162.427183,success
282.572833,54,162.512769,success
282.702196,54,162.599353,success
282.413153,54,162.683595,success
